Symbols,Cluster
Ssu72,2
Smap2,6
Speg,5
Hnrnpa1,3
Snrpd3,2
Rps21,7
Hn1,2
Pkmyt1,4
Mast3,6
Mfsd1,2
Ppil1,2
Arpc3,1
Ccl2,1
Dynll2,3
Sipa1l1,6
Sgce,6
Apba1,5
Batf,2
Ifi30,1
Slc44a2,6
Thada,5
1810043H04Rik,2
Slc38a9,5
Alas2,4
Oaz1,3
Gyg,3
Bst2,1
Rbm8a,2
Abhd15,6
Commd1,2
Gpr84,6
Fam46c,7
Ctnnb1,4
9030617O03Rik,5
Atp5f1,2
Cdc37,2
B3galt5,7
Nasp,2
Zfp580,5
Ufc1,2
Idh2,3
Polr2l,2
Timp2,6
Rps8,2
Mcoln2,1
Timeless,3
Gtf2a2,2
Mtss1,1
P2rx7,6
Camsap1,6
Atic,3
Cds1,6
Mertk,7
Slc46a1,6
Tmem66,7
Sri,2
Nedd8,2
Prpf3,5
Nucks1,2
Bri3bp,3
Aspm,4
Atxn10,3
Anks3,5
Kank2,1
Pvrl2,5
Cenpb,4
Mrpl17,2
Mgat4a,6
Pno1,2
Il2rg,1
Kif23,3
Smco4,2
Pola2,3
Itm2c,6
Tmod3,2
Cxcl16,7
Mrps12,2
Lyar,2
Ebf3,7
Rpl4,3
Nedd4,2
Srm,2
Ifitm2,1
Impa2,3
Npr1,1
Pdk3,3
Pld4,6
Cfl1,3
Polr3k,2
Sesn1,1
Mplkip,2
Dusp6,6
Gprc5c,1
Cox7a2,2
Mrps24,2
Sort1,7
Rpl41,3
Gpr157,5
Prkar2a,3
Mospd3,4
Abcc3,6
Slc3a2,5
Mfge8,5
Sp1,5
Dlgap5,3
Ndufa4,2
Il21r,7
Gga2,2
Cic,6
Ect2,2
Tspan13,7
Ripk3,2
Bmp1,5
Anln,3
Cenpm,3
Ik,4
Morf4l2,2
Hist1h1c,6
Eif4a3,3
Rbm10,4
Ptges3,2
Ostf1,1
Sdcbp,1
Zdhhc8,5
Me2,2
Slc43a3,3
Card6,7
Slc2a3,2
Epor,4
Akr1a1,1
Samhd1,1
Urm1,3
Icam1,6
Rpl19,3
Snrpg,2
Cox7b,2
Lamtor5,1
Paqr7,6
Gnai3,2
Kcnip3,6
Pura,7
Slc25a3,2
Ccdc88b,6
Slc25a24,1
Zfp36l2,7
Chst8,7
Fam193b,7
Cdc25a,3
Dtx4,6
Cln3,5
Ptpre,7
Papss1,5
Suv39h1,3
Slc25a4,2
Stom,1
Csad,6
Txnip,7
Aoah,1
Srp14,1
Coa6,2
Dscr3,1
Cep55,3
Eif2b1,2
Ccne2,3
Trim8,7
Pa2g4,3
Samsn1,7
H2-Eb1,7
Gigyf1,6
Anapc11,2
2810004N23Rik,2
Bub3,2
Gpc2,6
Chchd2,2
Atp6v1b2,1
Fbxl20,5
Sf3b1,5
Trib1,6
Dync1h1,5
Top1,3
Sap30,2
Cbx7,7
Neil3,3
Nipsnap3b,2
N6amt2,3
Trappc1,4
Ndufa2,2
Hjurp,4
Bcl9l,6
Tmem106a,1
Acat1,2
Hsp90aa1,3
Ube2s,3
Maml2,7
Ggnbp1,5
Cd151,5
Clptm1,5
Dhx15,3
Prim1,3
Tpcn1,5
Timm17a,2
Grn,5
Oaf,5
Rfc2,3
Tmem242,2
Bin1,6
Pnpla7,5
Ubc,5
Lsm1,2
Ubap2,3
Polr1d,2
Tomm6,2
Srsf3,2
Dbf4,3
Ttyh3,5
Gpr137,6
Bach2,6
G6pdx,3
Haus8,2
A430005L14Rik,2
Hn1l,3
C1qb,5
Gpr107,5
Trp53i11,7
Idh3a,2
Afmid,7
Galk2,2
Clasp2,7
Fam107b,2
Mfsd10,4
Cfh,5
Mgl2,1
Tpt1,2
Glrx5,2
Eif1ad,3
Oas1g,1
Bcl2l1,7
Hba-x,1
Swi5,2
Tspyl2,6
Eif4b,3
Sugp2,5
Prkce,7
St3gal2,6
Cct8,3
Akr1b3,1
Atf3,1
Cct4,2
Igf2,1
Cdca7l,3
Tgfbi,1
Mpc2,2
Phf12,5
Arhgap4,5
Cct7,3
Jak3,5
Npm3,2
Bicd2,7
Kif20a,3
Myo1e,6
Susd3,6
Cdk10,7
Eef1g,3
Sptssa,2
Nup210,3
Emg1,2
Slc9a8,6
Alox5ap,1
Tspan33,5
Baiap2,4
Laptm5,6
Snrpb,2
Tapbp,6
Cetn3,2
Srp9,2
Ube2e1,2
Rapgef5,7
Nrm,5
Slc48a1,1
Slc25a10,1
Snx32,5
Ola1,2
Wtap,7
Cse1l,3
Pyurf,2
Med10,1
Txn2,2
Kcnk6,6
Pop4,2
Srsf1,3
Ankle1,4
Samm50,3
Gapdh,1
Cuedc2,4
Egfl7,2
Ccl6,7
Rps3,2
Tgfbr2,7
Zbtb20,7
Rnf19b,6
Rpl36al,2
Smad3,7
Rpl6,2
Rrbp1,6
2900026A02Rik,4
Cyc1,2
Naa38,2
Psmd1,3
Ccl4,1
Capg,2
Pld3,5
Hist1h1b,5
Nono,4
D8Ertd82e,7
Ccne1,3
Vdac1,2
Gnpda1,1
Cycs,2
Usp1,3
Acat2,3
Adamts16,6
Pan3,7
Rad21,3
Spdl1,3
Cyba,1
Rac2,1
Hdac11,7
Tnfrsf21,6
Ctsh,7
Chchd1,2
Arhgef39,4
Adamts1,7
Ldb1,5
Nt5c,2
Rcc1,3
Man2b1,5
Idh3g,4
Irak2,7
Arrb2,6
Usp14,3
Dtd1,2
Serpinb8,2
Melk,3
Smc3,3
Gamt,1
Tnfsf13b,7
Lage3,2
Gns,6
Myo1h,3
Cox14,1
Cyb5r4,2
Pde8b,7
Cdca2,3
Kcnk13,6
Cadm1,6
Vps35,3
Itpripl1,7
Kctd10,3
Ifi27l2a,1
C2cd2l,4
Trim2,7
Lig1,3
Slamf9,6
Uba1,4
Txnrd1,2
Eva1a,6
Foxn3,7
Sdc4,1
Wdr1,3
Add3,2
Cdr2,4
Idh1,1
Camta2,6
Vps9d1,6
Timm10b,2
Ppdpf,2
Iqgap2,1
Mrpl33,2
Agpat3,5
Gpr137b,5
Larp7,3
Tpp1,4
Htra2,5
Dap3,3
Wee1,3
Skp2,2
Timm8b,2
Coa3,2
Evi2a-evi2b,3
Evi2b,3
Strap,2
Fkbp1b,2
Pyroxd2,5
Abtb1,6
Agbl5,2
Hprt,1
Psmb4,2
Gins4,2
Atn1,6
Nkiras1,2
Adk,2
Manf,2
Acp1,2
Cox8a,2
Naa20,4
Sidt2,5
Ccdc86,1
Spag5,3
Fbxl12,7
Nav2,7
Park7,2
Txnl1,2
Phf11b,1
Ndufc1,2
Actb,1
Cdv3,2
Pcgf2,5
Eef2k,7
Nutf2,3
Sys1,3
Kmt2d,7
Nav1,7
Ptpla,3
Tcn2,6
Elmo2,4
Clk2,5
Wbp11,2
Lacc1,5
Rrp15,2
Mrpl45,2
Psmg2,4
Tmem165,2
Slc16a10,3
Sept7,2
Brpf3,5
Nid2,4
Pwwp2a,6
Mettl9,2
Mien1,3
C1qc,6
Hnrnpc,2
Ssrp1,3
Uqcrh,2
Sv2a,5
Vamp3,1
Galnt2,4
Fam210a,6
Bard1,3
Tnrc6b,7
Pebp1,2
Cox6c,3
Cript,2
Eef2,4
Dynlt1f,2
Lonrf3,7
Smurf1,6
Gcn1l1,5
Naa50,2
Cebpg,7
Eid1,2
Chchd4,2
Sgol1,3
Bcas2,2
Pola1,2
Uap1l1,3
Serpinb6a,1
Sema4a,4
Thoc5,4
Tcof1,2
Mrpl40,2
Ube2v1,4
March1,7
Sh2b2,6
Litaf,1
Hsph1,3
Insl3,5
Fasn,3
Dynlt1c,2
Ywhaq,2
Lefty1,7
Taz,6
Rab11a,1
Man1c1,5
Paox,3
4930579G24Rik,3
Arpc1b,1
Llph,2
Gng10,7
Nop16,2
Nxt1,2
Cass4,7
Cytip,2
Adam9,1
Map3k9,7
Ncapg2,3
Rheb,2
Sra1,2
Cnot6,3
Acp5,1
Slamf8,7
Syt11,7
Phf5a,2
Gtse1,3
Minos1,2
Atp6v0d1,1
Atxn2l,6
Zbtb18,6
Pomp,2
Oas1a,1
Eif4g2,3
Cnpy3,5
Irf2bpl,5
Fam136a,2
Spsb1,7
5031439G07Rik,1
Rab3ip,7
Gusb,4
Med8,2
Nfkbia,6
Mgat1,5
Mtx2,2
Tmem55a,2
Lemd2,5
Ncaph,3
Adsl,2
Phgdh,4
Whsc1,3
Pycrl,2
Triap1,1
Traip,3
Dld,2
Btg1,7
Ap1b1,1
Zswim8,5
Atp13a1,4
Lrch1,6
Ywhae,3
Fes,5
Crtap,4
Lxn,2
Nsf,2
Ctns,5
Sdk1,5
Siglec5,6
Plekhm3,7
Guk1,2
Rbbp4,3
Cmpk1,2
Caprin1,3
Ppp2r2d,4
Zcchc7,6
Vamp8,1
Slc7a8,6
Med28,2
Tmem150a,6
Prr5,2
Gmip,5
Efr3a,4
Vmp1,2
Gsap,7
Gpr35,5
Abca1,4
Slc31a1,1
Pkd1,6
Suclg1,2
Senp2,6
Mmd,2
Mrpl12,2
Slc39a1,1
Pou6f1,6
Zfp90,5
Pbdc1,2
Id2,7
Tomm22,2
Tjp1,6
Dcakd,4
Raly,3
Ndufb6,2
Commd4,2
Eftud2,3
Neurl3,7
Mboat7,5
BC030867,3
Apex1,3
Tmsb4x,2
Ccl7,1
Tomm20,2
Git2,6
Dennd4a,6
Mybl2,3
Samd4,1
Odc1,2
Chst7,6
Anapc16,2
Baz2b,5
Fam162a,2
Cyr61,4
Emc6,2
Rbpj,1
Cox5b,2
Naga,5
Atp6v1e1,1
Slc24a3,6
Epha2,6
Coro1a,6
Ctif,5
Med11,2
C920025E04Rik,7
Ptprs,6
Ceacam1,7
Sept2,2
Cacna1d,5
Dtl,3
Lsm10,1
Trim3,7
Atp6v1f,1
Tnfaip8,2
Ckap4,2
Prrc2a,5
Trappc4,1
Wwp1,1
Slfn2,1
Nhp2l1,2
Ubfd1,2
Got1,4
Rnf215,6
Atp6v0e,1
Cenpe,3
Pltp,6
Ost4,1
Cask,7
Lamtor1,1
Nme6,2
Tubg1,3
Gspt1,3
Nacc2,6
Mrpl48,2
H2-T23,7
Nsun2,4
Lgals3bp,1
Ptplad2,1
2700060E02Rik,3
Tbc1d10a,6
Tnk2,4
Col15a1,6
Plekhm2,5
Rab7l1,1
